#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
1,Framber Valdez,HOU,SP,L,30.8,30.8,18.7,781.4,187.9,14.4,6.6,0,0,3.41,3.35,1.22,192.7,60.8,168.4,9.5,71.3,78.9,16,56.7,23.3,20.0,0.299,664285
2,Zack Wheeler,PHI,SP,R,30.8,30.8,18.2,760.9,184.8,12.7,7.9,0,0,3.54,3.64,1.15,184.5,43.9,168.8,8.8,72.1,78.5,23,43.9,36.2,19.9,0.293,10310
3,Chris Bassitt,TOR,SP,R,30.8,30.8,16.4,788.2,184.8,12.4,8.9,0,0,4.18,4.19,1.28,164.7,57.4,179.2,10.1,87.4,94.2,26,43.3,36.2,20.5,0.288,12304
4,Luis Castillo,SEA,SP,R,30.8,30.8,17.4,779.3,184.8,12.6,8.3,0,0,3.78,3.74,1.20,195.7,56.7,165.6,7.2,79.0,85.6,24,43.6,36.5,19.9,0.282,15689
5,Aaron Nola,PHI,SP,R,30.8,30.8,17.6,765.3,184.8,12.5,8.3,0,0,3.79,3.68,1.15,188.5,41.6,171.2,6.5,77.2,83.5,26,42.5,37.2,20.3,0.288,16149
6,Zac Gallen,ARI,SP,R,30.8,30.8,17.5,773.8,184.8,12.5,8.3,0,0,3.78,3.77,1.21,190.7,51.2,172.2,7.7,78.1,84.5,22,42.1,37.8,20.1,0.300,668678
7,Logan Gilbert,SEA,SP,R,30.8,30.8,16.9,772.8,184.8,12.4,8.7,0,0,3.99,3.88,1.17,184.5,44.1,172.4,6.2,83.6,89.7,28,39.0,41.0,20.0,0.279,669302
8,George Kirby,SEA,SP,R,30.8,30.8,17.5,765.3,184.8,12.6,8.3,0,0,3.74,3.63,1.13,178.7,32.0,177.2,7.6,78.3,84.7,25,43.2,36.8,20.0,0.288,669923
9,Logan Webb,SF,SP,R,29.8,29.8,17.8,761.0,181.8,12.1,8.3,0,0,3.48,3.30,1.21,163.0,40.4,179.4,7.3,72.3,79.9,16,55.5,24.1,20.4,0.306,657277
10,Jose Berrios,TOR,SP,R,30.8,30.8,16.4,772.6,181.7,12.1,8.6,0,0,4.08,4.12,1.25,171.0,51.0,176.2,9.5,83.9,90.4,26,41.7,38.0,20.2,0.289,14168
11,Merrill Kelly,ARI,SP,R,30.8,30.8,16.4,776.7,181.7,11.9,8.8,0,0,4.13,4.19,1.31,172.5,64.6,173.3,5.7,84.0,90.6,23,42.5,37.2,20.4,0.296,518876
12,Miles Mikolas,STL,SP,R,30.8,30.8,15.0,762.8,178.6,11.8,9.0,0,0,4.53,4.63,1.32,128.3,40.0,195.9,7.2,91.5,98.1,27,42.1,37.3,20.6,0.302,571945
13,Kevin Gausman,TOR,SP,R,29.8,29.8,17.4,726.7,175.8,12.2,7.4,0,0,3.43,3.38,1.15,202.6,47.6,153.8,4.7,68.4,74.1,22,40.6,39.6,19.9,0.291,14107
14,Pablo Lopez,MIN,SP,R,29.2,29.2,17.3,725.2,175.2,11.9,7.6,0,0,3.42,3.46,1.16,192.8,47.9,156.2,8.0,68.7,74.7,20,44.3,35.8,19.9,0.298,641154
15,Mitch Keller,PIT,SP,R,29.2,29.2,15.9,745.6,175.2,11.1,8.9,0,0,4.12,4.20,1.31,161.9,61.5,167.6,9.5,80.3,86.8,21,45.0,35.0,20.0,0.302,656605
16,Corbin Burnes,BAL,SP,R,29.2,29.2,16.8,737.5,175.2,11.8,7.9,0,0,3.70,3.53,1.18,183.2,55.0,151.1,8.2,72.3,78.6,21,45.2,35.0,19.8,0.279,669203
17,Kyle Gibson,STL,SP,R,29.8,29.8,15.1,748.9,172.8,11.5,8.4,0,0,4.30,4.49,1.38,137.3,56.2,182.9,7.7,84.2,91.2,22,48.0,31.4,20.6,0.307,10123
18,Justin Steele,CHC,SP,L,29.2,29.2,16.4,707.1,169.4,10.9,8.0,0,0,3.68,3.88,1.27,162.6,52.1,163.1,7.0,69.5,75.9,19,48.4,31.2,20.4,0.309,657006
19,Spencer Strider,ATL,SP,R,29.2,29.2,17.6,689.3,169.4,13.5,5.0,0,0,3.21,3.07,1.07,234.9,56.0,125.4,7.2,59.8,64.5,19,35.9,44.9,19.2,0.283,675911
20,Max Fried,ATL,SP,L,28.5,28.5,16.5,703.5,168.2,13.2,5.5,0,0,3.59,3.67,1.23,159.7,41.8,165.0,6.3,66.3,72.8,18,49.7,30.0,20.2,0.306,608331
21,Kyle Hendricks,CHC,SP,R,29.2,29.2,13.7,721.3,166.4,9.9,9.5,0,0,4.72,4.83,1.37,116.3,42.7,185.8,7.3,87.4,93.8,26,43.2,35.6,21.2,0.302,12049
22,Zach Eflin,TB,SP,R,29.2,29.2,16.0,690.1,166.4,11.0,7.5,0,0,3.70,3.71,1.17,160.3,32.5,161.9,5.9,69.3,75.3,21,45.1,34.4,20.5,0.295,13774
23,Lance Lynn,STL,SP,R,29.2,29.2,14.5,711.6,166.4,11.0,8.2,0,0,4.31,4.40,1.29,153.0,52.5,161.8,7.9,81.2,86.9,25,38.9,40.8,20.3,0.292,2520
24,Bobby Miller,LAD,SP,R,29.2,29.2,15.5,703.6,166.4,11.8,6.9,0,0,3.85,3.72,1.23,165.3,49.9,154.8,7.9,72.7,78.9,22,46.4,34.0,19.6,0.288,676272
25,Tanner Bibee,CLE,SP,R,29.2,29.2,14.8,707.1,166.4,10.2,8.8,0,0,4.19,4.25,1.26,164.6,51.9,157.7,6.6,78.3,83.8,26,36.8,43.1,20.1,0.285,676440
26,Dylan Cease,SD,SP,R,30.8,30.8,15.4,712.8,166.3,10.1,8.4,0,0,3.87,4.04,1.31,191.4,70.1,147.6,7.1,73.7,79.3,22,37.9,42.4,19.7,0.294,656302
27,Yoshinobu Yamamoto,LAD,SP,R,28.5,28.5,15.6,689.9,165.3,11.9,6.7,0,0,3.75,3.56,1.17,181.1,44.8,148.8,6.3,70.4,75.9,24,40.7,39.4,19.8,0.285,808967
28,Cole Ragans,KC,SP,L,27.5,27.5,15.6,700.5,165.0,10.6,8.0,0,0,3.91,4.09,1.29,170.8,69.6,142.7,6.1,69.9,75.7,19,41.3,39.1,19.6,0.291,666142
29,Joe Ryan,MIN,SP,R,29.2,29.2,15.0,683.1,163.5,10.3,8.2,0,0,3.94,3.99,1.16,179.4,43.2,146.1,7.3,74.0,78.6,25,31.6,48.2,20.2,0.282,657746
30,Brayan Bello,BOS,SP,R,29.2,29.2,15.0,698.9,163.5,10.2,8.2,0,0,4.32,4.31,1.36,138.6,55.5,166.9,6.4,73.3,80.1,18,51.5,28.5,20.0,0.311,678394
31,Shane Bieber,CLE,SP,R,27.5,27.5,15.1,687.0,162.3,10.4,8.0,0,0,3.93,3.89,1.25,155.6,42.9,160.3,5.4,71.4,77.5,21,46.1,33.4,20.5,0.298,669456
32,Blake Snell,SF,SP,L,29.2,29.2,15.7,682.2,160.6,9.9,7.8,0,0,3.55,3.39,1.22,202.9,72.4,123.4,4.8,65.1,70.6,17,40.5,40.0,19.5,0.276,13543
33,Freddy Peralta,MIL,SP,R,29.2,29.2,15.6,670.7,160.6,9.9,7.8,0,0,3.73,3.79,1.19,192.3,56.3,134.6,7.3,65.7,70.8,22,38.4,41.8,19.8,0.281,642547
34,Marcus Stroman,NYY,SP,R,29.8,29.8,14.5,679.2,157.9,10.6,7.1,0,0,4.07,4.03,1.33,134.3,50.2,159.5,5.9,71.3,78.0,19,51.8,27.7,20.6,0.297,13431
35,Dean Kremer,BAL,SP,R,29.2,29.2,13.5,677.7,157.7,9.4,8.6,0,0,4.48,4.58,1.33,134.6,51.1,159.1,6.4,78.6,84.3,25,40.1,39.7,20.3,0.292,665152
36,JP Sears,OAK,SP,L,29.2,29.2,13.2,676.1,157.7,8.2,9.9,0,0,4.43,4.52,1.28,143.7,51.6,149.8,8.5,80.4,85.4,26,34.3,45.4,20.2,0.277,676664
37,Grayson Rodriguez,BAL,SP,R,29.2,29.2,15.5,659.1,157.7,10.0,7.3,0,0,3.59,3.78,1.23,170.4,55.0,139.4,5.6,63.0,68.6,19,43.6,36.9,19.5,0.296,680570
38,Joe Musgrove,SD,SP,R,27.5,27.5,14.6,661.3,156.8,10.0,7.6,0,0,3.83,3.92,1.22,155.8,41.3,150.1,10.3,68.6,74.2,21,43.2,36.5,20.3,0.295,12970
39,Yu Darvish,SD,SP,R,27.5,27.5,14.1,658.9,156.8,9.9,8.0,0,0,4.08,4.09,1.23,161.5,43.1,149.0,8.0,73.2,78.3,24,38.5,41.4,20.0,0.293,13074
40,Ranger Suarez,PHI,SP,L,27.5,27.5,14.5,673.3,156.8,10.1,7.6,0,0,4.04,4.31,1.38,135.0,58.1,158.8,5.4,69.7,76.1,18,50.0,29.7,20.4,0.309,624133
41,Josiah Gray,WSH,SP,R,29.2,29.2,11.6,686.2,154.8,7.5,10.8,0,0,5.23,5.28,1.45,139.7,70.1,154.3,7.4,88.8,94.2,28,35.8,44.0,20.2,0.287,680686
42,Bryce Miller,SEA,SP,R,29.2,29.2,13.1,663.3,154.8,9.3,8.4,0,0,4.44,4.45,1.27,141.6,41.8,154.2,7.4,77.7,83.0,26,37.8,42.1,20.1,0.283,682243
43,Graham Ashcraft,CIN,SP,R,27.5,27.5,13.1,671.2,154.0,9.2,8.5,0,0,4.84,4.78,1.43,119.0,54.8,166.1,8.4,77.5,84.1,22,50.3,29.6,20.1,0.304,668933
44,Patrick Corbin,WSH,SP,L,27.5,27.5,12.4,670.4,154.0,8.1,9.9,0,0,4.91,4.96,1.43,109.7,49.6,170.4,5.3,83.2,89.3,25,45.2,34.2,20.7,0.304,9323
45,Cristian Javier,HOU,SP,R,29.2,29.2,12.5,654.9,151.8,10.0,7.5,0,0,4.67,4.56,1.28,163.9,59.5,134.4,7.0,79.0,83.3,27,26.9,53.0,20.2,0.265,664299
46,Jon Gray,TEX,SP,R,27.5,27.5,13.6,644.6,151.3,9.5,7.6,0,0,4.34,4.44,1.31,144.7,51.5,146.4,7.3,70.1,75.6,22,42.5,37.6,19.9,0.294,14916
47,Brady Singer,KC,SP,R,27.5,27.5,13.4,650.4,151.3,8.8,8.4,0,0,4.39,4.49,1.36,122.9,45.9,160.2,8.0,72.1,78.1,18,48.0,31.5,20.4,0.316,663903
48,Jesus Luzardo,MIA,SP,L,27.5,27.5,14.5,637.8,151.3,9.1,7.7,0,0,3.80,3.87,1.22,170.7,52.6,131.5,6.2,63.4,68.4,19,39.4,41.0,19.6,0.292,666200
49,Shota Imanaga,CHC,SP,L,27.5,27.5,14.4,631.1,151.3,9.2,7.6,0,0,3.82,3.96,1.22,153.7,41.1,144.2,5.4,64.4,69.5,20,41.5,37.5,21.0,0.301,684007
50,Reid Detmers,LAA,SP,L,28.5,28.5,13.6,644.2,151.1,9.1,7.9,0,0,4.26,4.34,1.31,161.6,59.0,138.7,8.4,70.1,75.0,23,37.3,42.7,20.0,0.292,672282
51,Jose Quintana,NYM,SP,L,25.9,25.9,13.1,655.3,150.2,9.8,7.5,0,0,4.27,4.41,1.40,127.0,52.5,157.5,4.9,73.3,79.3,20,44.6,34.7,20.8,0.302,11423
52,Justin Verlander,HOU,SP,R,25.9,25.9,13.4,632.8,150.2,10.8,6.4,0,0,4.22,4.20,1.21,143.6,39.6,142.7,5.9,70.6,75.4,24,35.8,43.9,20.3,0.279,8700
53,Hunter Greene,CIN,SP,R,29.2,29.2,13.9,628.0,148.9,8.5,7.9,0,0,4.25,4.24,1.25,182.3,59.0,127.6,8.1,65.8,70.3,24,34.4,46.3,19.3,0.285,668881
54,Jordan Montgomery,ARI,SP,L,26.1,26.1,13.9,626.4,148.8,9.7,7.0,0,0,3.89,4.06,1.27,134.0,41.1,147.6,5.2,64.9,70.4,17,44.7,34.9,20.4,0.304,656756
55,Charlie Morton,ATL,SP,R,27.5,27.5,13.4,641.7,148.5,10.9,5.9,0,0,4.20,4.23,1.34,158.8,59.9,138.7,10.2,68.6,74.0,19,43.0,37.1,19.9,0.303,4676
56,Kyle Freeland,COL,SP,L,27.5,27.5,11.9,647.6,148.5,7.0,10.3,0,0,5.56,5.78,1.49,93.3,44.5,176.9,6.5,80.4,86.0,26,42.0,36.9,21.1,0.320,607536
57,Tarik Skubal,DET,SP,L,27.5,27.5,15.2,608.1,148.5,8.9,7.2,0,0,3.31,3.26,1.10,170.6,40.2,123.4,5.5,55.1,59.9,17,43.1,37.2,19.7,0.288,669373
58,Taijuan Walker,PHI,SP,R,26.5,26.5,12.3,648.0,148.4,9.1,8.2,0,0,4.74,4.83,1.40,113.9,53.7,154.3,6.4,77.4,83.2,23,43.0,36.5,20.5,0.291,11836
59,Nathan Eovaldi,TEX,SP,R,25.9,25.9,13.5,624.0,147.6,9.6,7.1,0,0,4.22,4.25,1.27,132.9,41.6,145.9,5.9,66.4,71.9,21,45.0,34.9,20.2,0.292,9132
60,Nestor Cortes,NYY,SP,L,27.5,27.5,13.0,619.9,145.8,9.7,6.8,0,0,4.24,4.38,1.24,150.2,45.4,136.0,5.3,68.5,73.0,25,32.6,47.1,20.3,0.279,641482
61,Aaron Civale,TB,SP,R,27.5,27.5,12.9,622.8,145.8,8.9,7.6,0,0,4.22,4.15,1.26,139.5,41.2,143.0,6.9,69.3,74.4,21,41.0,38.5,20.5,0.290,650644
62,Hunter Brown,HOU,SP,R,27.5,27.5,13.9,618.0,145.8,10.2,5.9,0,0,3.81,3.88,1.31,155.5,55.1,135.7,6.1,61.8,67.5,16,50.0,30.2,19.8,0.306,686613
63,Seth Lugo,KC,SP,R,25.9,25.9,12.8,617.3,145.0,8.6,7.9,0,0,4.38,4.41,1.32,123.8,45.2,146.3,5.4,69.0,74.4,19,44.2,35.5,20.3,0.305,12447
64,Michael Wacha,KC,SP,R,25.9,25.9,12.2,621.0,145.0,8.4,8.4,0,0,4.72,4.76,1.32,118.8,44.2,147.4,5.3,74.3,79.4,22,39.5,39.9,20.5,0.296,14078
65,Bailey Ober,MIN,SP,R,25.9,25.9,12.9,612.4,145.0,9.0,7.5,0,0,4.13,4.14,1.20,140.1,34.9,138.4,5.8,68.8,73.3,23,34.8,44.7,20.5,0.282,641927
66,Paul Blackburn,OAK,SP,R,27.5,27.5,12.0,621.7,143.0,7.1,9.2,0,0,4.44,4.65,1.42,115.2,48.7,154.0,5.6,73.2,78.9,19,46.4,33.0,20.6,0.311,14739
67,Yusei Kikuchi,TOR,SP,L,27.5,27.5,13.2,603.1,143.0,8.8,7.1,0,0,3.96,4.16,1.29,149.4,52.5,131.7,5.8,64.3,69.3,20,43.0,37.1,19.9,0.295,579328
68,Patrick Sandoval,LAA,SP,L,27.5,27.5,13.0,616.3,143.0,8.5,7.5,0,0,4.22,4.47,1.42,131.4,62.4,140.5,5.4,65.6,71.2,18,47.2,32.7,20.2,0.305,663776
69,Andrew Abbott,CIN,SP,L,27.5,27.5,13.1,606.6,143.0,8.3,7.6,0,0,4.36,4.52,1.32,155.5,56.8,131.8,5.2,64.8,69.3,24,36.2,43.7,20.1,0.289,671096
70,Brandon Pfaadt,ARI,SP,R,27.5,27.5,12.4,602.7,143.0,8.4,7.8,0,0,4.38,4.58,1.26,130.5,38.8,141.9,6.5,70.1,74.6,22,36.2,43.6,20.3,0.298,694297
71,Cristopher Sanchez,PHI,SP,L,25.9,25.9,13.1,611.7,142.5,8.9,7.1,0,0,4.10,4.26,1.36,118.0,50.8,142.8,6.7,64.3,70.3,17,52.2,27.3,20.5,0.301,650911
72,Griffin Canning,LAA,SP,R,25.9,25.9,12.9,603.7,142.5,8.9,7.2,0,0,4.23,4.23,1.28,145.4,47.5,134.7,5.6,65.6,70.4,22,39.7,40.3,20.0,0.291,656288
73,Nick Pivetta,BOS,SP,R,25.9,25.9,12.4,596.6,139.9,8.4,7.5,0,0,4.56,4.37,1.28,149.0,54.9,124.2,5.4,66.2,70.7,21,36.9,43.2,19.9,0.284,601713
74,Sonny Gray,STL,SP,R,23.8,23.8,13.0,585.3,138.0,9.5,6.1,0,0,3.81,3.83,1.26,132.5,45.8,128.7,6.0,59.5,64.7,15,46.3,33.4,20.3,0.297,12768
75,Luis Severino,NYM,SP,R,27.5,27.5,11.9,591.9,137.5,8.0,7.4,0,0,4.28,4.37,1.32,131.8,45.1,136.4,6.2,67.2,72.2,21,41.4,38.7,19.9,0.293,15890
76,Kenta Maeda,DET,SP,R,27.5,27.5,12.4,580.8,137.5,7.2,8.1,0,0,4.15,4.06,1.21,137.0,39.1,127.9,5.5,64.0,68.5,20,38.0,41.5,20.5,0.288,18498
77,Cal Quantrill,COL,SP,R,27.5,27.5,10.4,606.7,137.5,5.6,10.4,0,0,5.83,6.03,1.53,84.1,46.0,164.7,7.4,78.0,83.4,25,41.2,38.3,20.5,0.319,615698
78,Tanner Houck,BOS,SP,R,27.5,27.5,12.6,589.7,137.5,7.8,7.4,0,0,4.39,4.45,1.37,123.3,50.7,137.1,7.6,62.7,68.2,16,48.9,30.9,20.2,0.309,656557
79,Clarke Schmidt,NYY,SP,R,27.5,27.5,11.9,592.0,137.5,8.7,6.8,0,0,4.41,4.60,1.36,119.5,45.8,141.2,7.1,67.3,72.5,20,44.3,35.3,20.4,0.300,657376
80,Gavin Williams,CLE,SP,R,25.0,25.0,12.2,590.3,137.5,8.2,7.4,0,0,4.21,4.29,1.30,144.7,53.9,124.8,6.3,64.9,69.6,20,37.8,42.4,19.8,0.283,668909
81,Tyler Anderson,LAA,SP,L,25.9,25.9,11.0,600.6,137.3,7.9,8.1,0,0,4.96,5.19,1.44,106.9,49.5,148.0,5.9,74.1,78.9,24,36.1,43.1,20.8,0.296,12880
82,Carlos Rodon,NYY,SP,L,25.9,25.9,13.1,574.7,137.3,9.3,5.8,0,0,3.81,3.66,1.15,163.5,43.6,114.1,5.8,58.0,62.1,20,33.5,46.6,19.8,0.272,16137
83,Dane Dunning,TEX,SP,R,35.6,19.4,9.6,578.7,134.9,10.9,9.0,0,0,4.44,4.66,1.40,114.5,47.1,142.0,7.1,63.8,69.3,18,48.2,31.2,20.6,0.303,641540
84,Colin Rea,MIL,SP,R,25.9,25.9,11.4,578.1,134.7,7.5,7.9,0,0,4.60,4.60,1.32,116.3,40.2,137.8,5.4,67.9,73.0,21,43.1,36.4,20.5,0.289,12317
85,Michael King,SD,SP,R,25.9,25.9,12.5,577.2,134.7,7.9,7.0,0,0,3.90,4.12,1.32,138.4,52.3,125.9,6.2,60.1,65.2,17,44.2,35.8,20.0,0.296,650633
86,Jack Flaherty,DET,SP,R,25.9,25.9,11.6,588.4,134.7,7.2,8.1,0,0,4.38,4.65,1.40,128.1,53.5,135.3,7.9,66.2,71.2,18,42.6,37.1,20.2,0.312,656427
87,Logan Allen,CLE,SP,L,25.9,25.9,12.1,578.0,134.7,7.6,7.4,0,0,4.15,4.55,1.36,128.5,49.1,134.4,4.6,62.8,67.6,20,40.9,38.7,20.4,0.301,671106
88,Bryan Woo,SEA,SP,R,25.9,25.9,11.9,575.9,134.7,8.0,7.2,0,0,4.23,4.26,1.26,139.5,46.1,123.9,7.7,64.5,69.1,20,38.8,41.2,20.0,0.281,693433
89,Tyler Glasnow,LAD,SP,R,24.3,24.3,13.5,548.4,133.7,9.6,5.0,0,0,3.34,3.09,1.12,166.5,41.7,108.2,3.7,50.7,55.1,16,44.6,35.9,19.5,0.284,14374
90,Braxton Garrett,MIA,SP,L,25.6,25.6,12.4,563.5,133.1,7.5,7.3,0,0,4.02,4.01,1.26,122.5,37.0,130.6,7.4,58.9,64.0,16,47.2,32.2,20.6,0.303,666129
91,Eduardo Rodriguez,ARI,SP,L,22.4,22.4,12.3,560.6,132.2,8.8,6.2,0,0,3.93,4.08,1.28,125.7,43.4,126.3,4.1,58.2,63.0,16,42.9,36.9,20.3,0.299,13164
92,Chris Sale,ATL,SP,L,25.9,25.9,12.8,549.2,132.1,9.6,4.8,0,0,3.77,3.76,1.16,151.2,37.9,115.2,6.9,54.8,59.0,18,39.6,40.4,20.0,0.289,10603
93,Austin Gomber,COL,SP,L,25.9,25.9,10.7,573.7,132.1,5.8,9.4,0,0,5.46,5.80,1.49,87.7,43.9,153.4,4.5,70.1,75.1,23,41.5,37.7,20.8,0.318,16561
94,Zack Littell,TB,SP,R,25.9,25.9,10.5,575.0,132.1,7.5,7.8,0,0,4.79,4.84,1.38,104.8,41.1,141.6,5.4,71.4,76.3,22,41.1,38.5,20.4,0.294,641793
95,Triston McKenzie,CLE,SP,R,25.9,25.9,11.3,565.9,132.1,7.2,7.7,0,0,4.43,4.47,1.28,136.1,46.9,122.5,4.6,65.6,69.7,23,32.6,47.2,20.2,0.277,663474
96,Kyle Harrison,SF,SP,L,25.9,25.9,11.8,574.7,132.1,7.3,7.5,0,0,4.11,4.23,1.32,146.5,60.6,113.6,8.1,62.1,66.6,17,36.7,43.4,19.9,0.282,690986
97,J.P. France,HOU,SP,R,22.7,22.7,10.6,573.6,131.7,9.2,6.4,0,0,4.84,4.96,1.43,111.2,51.4,136.4,4.2,70.9,75.8,21,40.1,39.5,20.4,0.294,641585
98,Martin Perez,PIT,SP,L,24.3,24.3,10.8,582.2,131.2,7.4,7.8,0,0,4.72,4.86,1.48,91.4,50.6,143.5,5.6,68.8,74.3,17,46.5,32.8,20.7,0.306,6902
99,Alex Cobb,SF,SP,R,24.1,24.1,12.5,549.9,130.1,7.8,6.5,0,0,3.65,3.60,1.27,116.2,36.0,129.6,4.9,54.4,59.9,12,54.5,25.4,20.2,0.309,6562
100,Wade Miley,MIL,SP,L,25.0,25.0,11.1,570.5,130.0,7.2,7.5,0,0,4.55,4.68,1.41,96.6,44.1,139.1,5.0,64.8,70.2,18,46.6,32.6,20.8,0.293,8779
101,Jake Irvin,WSH,SP,R,25.9,25.9,10.1,569.6,129.5,5.9,9.0,0,0,4.97,4.99,1.43,103.9,50.9,134.0,7.2,70.8,75.7,21,41.6,38.2,20.2,0.295,663623
102,MacKenzie Gore,WSH,SP,L,25.9,25.9,11.8,556.4,129.5,6.3,8.0,0,0,4.19,4.37,1.34,135.0,54.9,118.3,4.7,59.6,64.1,18,40.1,40.1,19.9,0.293,669022
103,Kutter Crawford,BOS,SP,R,25.9,25.9,11.0,552.9,129.5,7.1,7.6,0,0,4.83,4.78,1.29,119.1,42.0,125.1,5.2,64.8,69.0,22,34.6,45.1,20.3,0.286,676710
104,Frankie Montas,CIN,SP,R,24.3,24.3,11.6,546.8,128.8,7.5,6.9,0,0,4.43,4.50,1.33,123.2,43.0,128.1,5.2,59.4,64.2,20,43.7,36.3,20.0,0.298,14309
105,Ryan Pepiot,TB,SP,R,24.3,24.3,10.8,561.1,128.8,7.7,7.1,0,0,4.55,4.59,1.34,126.8,52.0,120.2,7.1,66.0,70.5,20,37.1,42.7,20.1,0.278,686752
106,Walker Buehler,LAD,SP,R,23.2,23.2,11.4,544.2,127.6,8.7,5.8,0,0,4.16,4.08,1.29,119.7,38.1,125.9,4.8,60.3,64.9,19,42.0,37.9,20.1,0.291,621111
107,Andrew Heaney,TEX,SP,L,25.9,25.9,11.4,540.2,126.9,7.2,6.9,0,0,4.39,4.58,1.30,130.4,45.4,119.8,6.9,59.5,63.6,21,37.9,41.9,20.2,0.292,15423
108,Jameson Taillon,CHC,SP,R,24.1,24.1,10.5,535.4,125.3,6.9,7.4,0,0,4.56,4.56,1.30,106.9,34.2,128.4,4.8,63.7,68.0,20,38.1,41.5,20.3,0.293,11674
109,Louie Varland,MIN,SP,R,22.7,22.7,11.0,532.6,124.9,7.6,6.6,0,0,4.16,4.22,1.29,113.6,38.2,122.7,5.0,59.7,64.3,17,42.9,36.9,20.1,0.294,686973
110,Reese Olson,DET,SP,R,24.3,24.3,11.1,531.9,123.9,6.6,7.3,0,0,4.19,4.17,1.30,117.3,46.0,114.8,4.8,58.2,62.8,16,43.0,36.9,20.0,0.287,681857
111,Adrian Houser,NYM,SP,R,35.6,19.4,8.0,534.1,123.2,9.1,9.4,0,0,4.52,4.78,1.49,91.0,44.4,139.4,4.6,63.8,69.0,16,49.1,30.3,20.6,0.309,12718
112,Alex Wood,OAK,SP,L,24.3,24.3,9.9,534.4,121.5,5.7,8.2,0,0,4.54,4.71,1.42,95.8,46.1,126.6,8.3,63.6,68.4,17,44.9,34.5,20.6,0.299,13781
113,Marco Gonzales,PIT,SP,L,24.3,24.3,9.6,532.2,121.5,6.2,7.8,0,0,4.89,5.18,1.44,79.4,37.2,137.8,4.9,66.0,70.6,19,40.5,38.4,21.1,0.306,15467
114,Erick Fedde,CHW,SP,R,24.3,24.3,9.2,535.8,121.5,5.4,8.7,0,0,5.10,5.22,1.50,88.1,47.4,134.7,4.2,68.6,73.5,21,44.7,34.6,20.6,0.299,607200
115,Chase Silseth,LAA,SP,R,24.3,24.3,10.7,524.5,121.5,6.9,6.7,0,0,4.41,4.42,1.39,114.9,51.6,116.8,5.3,58.3,63.1,16,47.1,32.9,20.0,0.295,681217
116,Sean Manaea,NYM,SP,L,35.6,19.4,8.7,511.4,121.3,9.9,8.1,0,0,3.96,4.12,1.27,126.4,38.2,116.4,5.2,54.9,59.0,18,40.5,39.3,20.2,0.289,15873
117,Tyler Wells,BAL,SP,R,35.6,19.4,8.6,520.0,121.0,7.0,6.8,0,3,4.63,4.52,1.24,108.6,37.2,113.3,4.5,62.4,66.2,22,32.6,47.1,20.3,0.263,669330
118,Garrett Whitlock,BOS,SP,R,22.7,22.7,10.6,498.9,118.0,6.9,6.4,0,0,4.50,4.58,1.30,104.7,32.1,120.9,4.7,55.0,59.3,17,42.4,37.3,20.3,0.306,676477
119,Edward Cabrera,MIA,SP,R,23.5,23.5,10.6,511.0,117.5,6.2,6.8,0,0,4.20,4.26,1.37,127.8,59.1,101.7,6.0,54.5,58.9,14,44.2,36.3,19.5,0.293,665795
120,John Means,BAL,SP,L,21.3,21.3,10.0,500.7,117.2,7.1,6.4,0,0,4.51,4.70,1.26,92.5,28.5,119.6,5.1,58.8,62.7,21,35.1,44.3,20.6,0.281,607644
121,Ross Stripling,OAK,SP,R,35.6,19.4,8.0,497.9,116.4,5.5,7.5,0,2,4.41,4.51,1.31,91.4,30.3,122.4,3.8,59.1,63.4,18,42.6,36.9,20.6,0.295,13273
122,Chris Flexen,CHW,SP,R,35.6,19.4,7.2,510.8,116.4,5.2,8.1,0,2,5.06,5.23,1.46,84.3,40.6,129.0,4.0,65.1,69.4,22,39.1,40.3,20.6,0.295,623167
123,Casey Mize,DET,SP,R,22.7,22.7,9.6,501.5,115.8,5.9,7.3,0,0,4.61,4.55,1.34,93.5,34.5,120.7,6.5,60.0,64.4,17,43.6,36.0,20.4,0.299,663554
124,Tylor Megill,NYM,SP,R,35.6,19.4,8.1,498.9,115.1,6.6,6.4,0,2,4.50,4.60,1.39,101.3,40.9,118.9,4.9,59.2,63.5,17,42.9,37.0,20.1,0.300,656731
125,Nick Martinez,CIN,SP,R,35.6,19.4,7.8,497.6,114.2,5.9,6.7,0,2,4.74,4.78,1.44,101.9,45.5,118.7,4.7,56.4,61.0,17,47.5,32.2,20.3,0.303,12730
126,Chris Paddack,MIN,SP,R,22.7,22.7,9.8,481.8,113.5,6.3,6.5,0,0,4.28,4.30,1.27,97.3,28.3,115.7,4.1,55.8,59.8,17,40.7,38.9,20.4,0.295,663978
127,Trevor Rogers,MIA,SP,L,22.7,22.7,10.4,482.9,113.5,6.1,6.5,0,0,4.13,4.15,1.28,112.6,40.4,104.7,5.3,51.7,55.7,14,40.6,39.3,20.1,0.294,669432
128,Jordan Wicks,CHC,SP,L,22.7,22.7,9.9,491.6,113.5,6.1,6.6,0,0,4.38,4.64,1.39,94.8,39.8,117.8,4.6,55.3,59.7,16,44.0,35.5,20.5,0.302,696136
