#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
859,Grant Holmes,ATL,RP,R,10.7,0.0,0.0,42.8,10.7,0.5,0.5,0,1,4.69,4.90,1.44,9.3,4.1,11.3,0.5,5.5,5.9,2,42.0,36.8,21.2,0.308,16944
860,John Doxakis,CLE,RP,L,10.7,0.0,0.0,42.8,10.7,0.5,0.6,0,1,4.74,5.29,1.49,8.5,4.4,11.5,0.7,5.7,6.1,2,40.2,38.4,21.3,0.303,669648
861,Colton Gordon,HOU,RP,L,10.7,0.0,0.0,44.9,10.7,0.6,0.5,0,1,4.17,4.49,1.33,10.6,3.9,10.3,0.5,5.0,5.3,2,38.1,40.8,21.1,0.294,676467
862,Eli Villalobos,MIA,RP,R,10.7,0.0,0.0,42.8,10.7,0.5,0.6,0,1,5.00,5.32,1.55,9.0,5.4,11.2,0.5,5.9,6.3,1,42.1,36.4,21.5,0.310,681871
863,Hunter McMahon,MIN,RP,R,10.7,0.0,0.0,36.0,10.7,0.5,0.5,0,1,4.38,4.71,1.46,7.9,3.9,11.8,0.5,5.4,5.8,1,48.7,30.0,21.3,0.315,684937
864,Evan Gates,SF,RP,R,10.7,0.0,0.0,42.8,10.7,0.5,0.6,0,1,4.48,4.75,1.46,9.5,4.7,11.0,0.4,5.5,5.9,1,42.8,35.9,21.3,0.308,688753
865,Riley Martin,CHC,RP,L,10.7,0.0,0.0,42.8,10.7,0.5,0.5,0,1,4.33,4.88,1.53,10.6,6.1,10.4,0.5,5.2,5.6,1,43.3,35.2,21.5,0.312,702303
866,Wily Peralta,PIT,RP,R,10.6,0.0,0.0,44.7,10.6,0.5,0.5,0,2,4.13,4.39,1.37,9.2,4.2,10.4,0.4,4.9,5.3,1,44.8,35.3,20.0,0.301,7738
867,Liam Hendriks,BOS,RP,R,10.5,0.0,0.0,42.9,10.5,0.6,0.5,0,2,3.75,3.49,1.11,12.3,3.1,8.5,0.4,4.1,4.4,1,34.4,46.1,19.5,0.278,3548
868,James Norwood,FA,RP,R,10.5,0.0,0.0,42.0,10.5,0.5,0.5,0,1,4.10,4.27,1.36,10.9,4.7,9.6,0.4,4.8,5.2,1,41.1,39.2,19.7,0.295,656803
869,Blair Calvo,DET,RP,R,10.5,0.0,0.0,42.0,10.5,0.5,0.5,0,1,4.52,4.73,1.47,8.7,4.8,10.6,0.7,5.3,5.8,1,47.0,32.7,20.3,0.305,663971
870,Matthew Boyd,FA,SP,L,2.2,2.2,0.9,44.0,10.3,0.5,0.6,0,0,4.37,4.56,1.31,9.8,3.5,10.0,0.5,5.0,5.3,2,38.4,41.2,20.4,0.292,15440
871,David Parkinson,PHI,SP,L,7.1,0.8,0.3,42.1,10.3,1.3,1.8,0,0,4.69,5.60,1.53,7.5,3.6,12.1,0.4,5.3,5.7,2,40.5,38.2,21.2,0.300,663982
872,Taylor Hearn,FA,RP,L,9.3,0.0,0.0,40.8,10.2,0.5,0.5,0,1,4.07,4.42,1.37,10.3,4.4,9.5,0.4,4.6,5.0,1,39.6,40.4,20.0,0.299,621368
873,Kevin Herget,MIL,RP,R,6.8,0.0,0.0,40.8,10.2,0.5,0.5,0,1,4.42,4.61,1.30,8.5,2.7,10.5,0.4,4.9,5.3,2,39.4,40.6,20.1,0.289,643361
874,Brett Kennedy,CIN,RP,R,9.3,0.0,0.0,23.0,10.2,0.5,0.5,0,1,5.12,5.15,1.43,7.8,3.6,11.0,0.5,5.4,5.8,2,41.5,38.2,20.3,0.295,664028
875,Darren McCaughan,MIA,RP,R,9.3,0.0,0.0,43.4,10.2,0.5,0.5,0,1,4.49,4.63,1.28,8.0,2.3,10.8,0.5,5.1,5.4,2,39.7,39.8,20.6,0.300,670766
876,Lucas Luetge,BOS,RP,L,9.3,0.0,0.0,44.2,10.2,0.5,0.5,0,1,4.63,5.04,1.43,8.6,3.7,10.9,0.5,4.9,5.3,1,41.1,38.1,20.8,0.318,8337
877,Noah Skirrow,PHI,SP,R,2.0,2.0,0.7,34.3,10.0,0.5,0.7,0,0,5.71,6.02,1.56,6.5,4.1,11.5,0.4,6.3,6.7,2,38.0,40.9,21.1,0.297,659418
878,Griff McGarry,PHI,SP,R,2.0,2.0,0.8,40.0,10.0,0.5,0.6,0,0,5.11,6.13,1.73,8.1,5.1,12.2,0.4,5.6,6.0,2,41.3,37.7,21.0,0.301,676046
879,Mason Erla,LAA,SP,R,2.0,2.0,0.7,41.4,10.0,0.5,0.7,0,0,5.48,5.66,1.59,6.1,3.9,12.0,0.5,6.0,6.4,2,46.4,32.2,21.4,0.313,680451
880,Luke Albright,ARI,SP,R,2.0,2.0,0.7,40.0,10.0,0.5,0.7,0,0,5.30,5.75,1.59,7.7,5.0,10.9,0.5,5.9,6.3,2,39.3,39.7,21.0,0.309,681475
881,Ryan Bergert,SD,SP,R,2.0,2.0,0.8,41.2,10.0,0.5,0.6,0,0,4.72,5.07,1.47,8.5,4.3,10.4,0.4,5.4,5.8,2,41.2,37.8,21.1,0.300,686701
882,Dominic Hamel,NYM,SP,R,2.0,2.0,0.8,40.0,10.0,0.6,0.6,0,0,4.72,5.66,1.61,8.2,3.9,12.2,0.4,5.4,5.8,2,40.6,38.3,21.1,0.298,687589
883,Richard Fitts,BOS,SP,R,2.0,2.0,0.8,40.0,10.0,0.5,0.6,0,0,5.19,5.48,1.43,7.4,3.1,11.2,0.4,5.4,5.8,2,40.7,38.0,21.2,0.309,690916
884,Taylor Dollard,SEA,SP,R,2.0,2.0,0.8,40.0,10.0,0.6,0.6,0,0,4.81,5.00,1.38,7.7,2.8,11.0,0.5,5.4,5.8,2,41.3,37.5,21.3,0.296,693440
885,Brett Kerry,LAA,SP,R,2.0,2.0,0.7,41.4,10.0,0.5,0.7,0,0,5.57,5.79,1.53,7.0,3.8,11.5,0.4,6.1,6.4,2,38.1,40.6,21.3,0.301,695049
886,Jimmy Joyce,SEA,SP,R,2.0,2.0,0.9,40.0,10.0,0.6,0.6,0,0,4.42,4.61,1.43,8.1,3.7,10.6,0.7,5.0,5.4,1,51.5,27.3,21.2,0.306,702460
887,Jonathan Holder,TEX,RP,R,9.9,0.0,0.0,39.6,9.9,0.5,0.5,0,1,4.88,5.15,1.49,8.2,4.3,10.4,0.5,5.2,5.5,1,43.1,36.2,20.6,0.304,16588
888,Aneurys Zabala,DET,RP,R,9.9,0.0,0.0,39.6,9.9,0.5,0.5,0,1,4.09,4.18,1.38,11.0,5.4,8.3,0.6,4.5,4.9,1,41.0,39.5,19.4,0.288,656008
