#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
158,J.T. Realmuto,PHI,R,C,C,126,475,428,56.8,16.9,61.0,12.8,107.7,66.3,21.3,3.2,186.0,114.7,35.6,7.9,3.4,1.1,4.1,0.252,0.319,0.435,0.754,0.303,11739
159,Lars Nootbaar,STL,L,OF,OF,118,475,401,62.5,16.0,56.6,7.8,102.2,65.0,19.7,1.5,173.0,97.4,63.5,2.9,3.3,3.4,2.9,0.255,0.355,0.431,0.786,0.296,663457
160,Nolan Schanuel,LAA,L,1B,1B,124,475,400,63.2,12.9,50.6,2.8,103.9,70.6,18.7,1.7,164.7,81.0,62.6,6.3,3.2,2.0,1.2,0.260,0.364,0.412,0.776,0.294,694384
161,Tyler O’Neill,BOS,R,OF,OF,121,474,417,58.7,19.7,64.5,10.8,103.8,63.2,19.7,1.1,185.1,130.5,44.4,6.2,3.7,1.6,3.8,0.249,0.326,0.444,0.770,0.311,641933
162,Cedric Mullins,BAL,L,OF,OF,124,473,421,60.9,14.9,54.5,22.3,105.8,64.9,23.8,2.3,178.7,96.0,39.4,4.7,3.0,4.1,5.9,0.251,0.317,0.424,0.741,0.290,656775
163,Geraldo Perdomo,ARI,S,2B/SS,2B/SS/ 3B,133,470,401,55.6,6.8,43.1,13.2,96.8,71.0,15.9,3.2,139.3,83.4,56.1,5.3,3.6,3.7,4.4,0.241,0.337,0.347,0.684,0.286,672695
164,Anthony Rendon,LAA,R,3B,3B,120,467,399,56.5,13.9,58.2,5.2,102.7,64.4,23.3,1.1,170.0,84.0,54.1,6.5,3.0,3.7,1.7,0.257,0.350,0.426,0.776,0.292,12861
165,Will Smith,LAD,R,C,C,116,465,400,63.0,19.9,68.8,1.7,104.0,58.6,23.8,1.6,190.7,80.9,50.2,9.8,3.3,0.7,0.7,0.260,0.353,0.477,0.830,0.278,669257
166,Michael Conforto,SF,L,OF,OF,119,461,398,53.7,14.3,52.8,2.8,99.0,65.3,18.5,0.8,161.9,104.0,50.9,7.5,3.6,1.4,1.2,0.249,0.341,0.407,0.748,0.299,16376
167,Gabriel Moreno,ARI,R,C,C,119,458,411,53.3,10.1,52.9,6.3,116.8,83.4,21.9,1.4,171.8,81.7,36.6,5.2,3.2,2.2,2.5,0.285,0.346,0.418,0.765,0.331,672515
168,Cal Raleigh,SEA,S,C,C,119,455,406,57.1,23.4,66.6,1.0,93.8,45.4,24.2,0.9,190.0,121.0,41.3,3.1,3.6,1.6,0.5,0.231,0.303,0.468,0.772,0.266,663728
169,Colt Keith,DET,L,3B,3B,124,452,407,52.5,13.1,50.8,2.5,105.8,73.5,16.7,2.5,166.7,99.1,37.3,3.6,3.1,1.7,1.0,0.260,0.325,0.410,0.735,0.312,690993
170,Masyn Winn,STL,R,SS,SS,131,452,407,54.3,9.9,48.0,10.7,100.2,68.5,18.8,2.9,154.7,85.0,34.1,3.5,3.5,3.7,3.1,0.246,0.305,0.381,0.686,0.286,691026
171,Jose Siri,TB,R,OF,OF,126,448,410,52.5,18.8,56.4,15.2,90.7,51.9,17.8,2.4,169.5,151.5,27.5,4.4,3.3,2.7,4.7,0.221,0.274,0.413,0.687,0.296,642350
172,Luis Garcia,WSH,L,2B,2B,122,447,412,52.6,11.1,52.0,7.6,114.7,75.6,25.0,3.1,179.1,64.7,26.2,2.2,3.4,3.2,3.1,0.279,0.320,0.435,0.755,0.305,671277
173,Brett Baty,NYM,L,3B,3B,121,445,396,53.8,16.2,55.3,2.9,98.3,61.2,20.4,0.5,168.5,115.2,39.6,4.0,3.6,3.3,1.3,0.248,0.319,0.425,0.744,0.306,683146
174,Brandon Marsh,PHI,L,OF,OF,127,443,387,52.7,10.7,47.7,9.1,95.6,63.1,18.0,3.7,153.2,135.2,45.6,4.0,3.5,3.2,3.3,0.247,0.328,0.396,0.724,0.347,669016
175,Josh Lowe,TB,L,OF,OF,112,442,398,54.6,14.7,55.8,18.4,102.2,60.5,25.3,1.8,175.1,121.7,37.0,2.7,3.2,2.1,5.1,0.257,0.321,0.440,0.761,0.331,666139
176,Alek Thomas,ARI,L,OF,OF,122,441,401,51.2,11.2,50.8,7.8,104.3,71.3,17.6,4.2,163.8,85.0,28.9,4.4,3.5,3.2,3.3,0.260,0.313,0.409,0.721,0.302,677950
177,Vaughn Grissom,BOS,R,SS,SS,120,441,392,54.7,8.6,50.0,7.7,111.9,78.2,22.6,2.4,165.2,72.0,36.2,7.3,3.2,2.7,2.9,0.285,0.352,0.422,0.775,0.329,687093
178,Willi Castro,MIN,S,3B/OF,2B/3B/ OF,120,440,398,52.1,10.4,46.6,20.4,99.8,65.6,20.6,3.2,158.0,102.7,28.7,7.9,3.2,2.4,7.0,0.251,0.310,0.396,0.706,0.310,650489
179,Keibert Ruiz,WSH,S,C,C,116,438,399,51.0,14.1,56.5,2.7,108.1,69.8,23.6,0.5,175.0,47.9,29.5,4.9,3.1,1.5,1.1,0.271,0.325,0.439,0.764,0.276,660688
180,Austin Hays,BAL,R,OF,OF,115,438,399,51.7,14.0,54.2,3.6,102.0,64.8,21.7,1.5,168.8,98.3,28.3,5.4,3.2,2.2,1.6,0.256,0.309,0.423,0.733,0.304,669720
181,Seth Brown,OAK,L,OF,1B/OF,118,437,392,49.6,17.7,56.2,5.1,91.5,52.3,19.9,1.6,167.6,119.6,36.5,3.1,3.4,1.2,2.0,0.233,0.300,0.427,0.727,0.285,664913
182,Javier Baez,DET,R,SS,SS,121,436,402,46.5,13.0,49.4,7.5,96.7,64.5,16.3,2.9,157.9,109.2,21.6,6.6,3.4,2.6,2.6,0.241,0.287,0.393,0.679,0.295,12979
183,Jake Fraley,CIN,L,OF,OF,116,436,377,57.1,17.4,56.4,15.5,94.4,55.8,20.6,0.5,168.4,95.6,49.1,5.3,3.0,1.1,5.8,0.250,0.342,0.447,0.789,0.288,641584
184,Ceddanne Rafaela,BOS,R,OF,SS/OF,124,436,405,55.6,12.9,51.7,15.5,103.9,66.1,22.5,2.4,169.9,98.0,19.7,5.3,3.2,2.5,6.1,0.256,0.295,0.420,0.715,0.306,678882
185,Andrew McCutchen,PIT,R,DH,OF,110,435,373,51.5,12.3,47.8,7.2,90.7,60.7,17.2,0.6,145.9,95.7,54.7,3.8,3.4,1.4,2.9,0.243,0.343,0.391,0.734,0.292,9847
186,Mark Canha,DET,R,OF,1B/OF,113,434,373,52.0,11.2,46.5,5.7,95.9,66.1,17.4,1.1,149.0,76.4,42.4,14.0,3.4,1.7,2.0,0.257,0.351,0.400,0.750,0.293,11445
187,Jonah Heim,TEX,S,C,C,119,433,391,52.6,15.6,55.6,2.3,97.6,58.7,22.8,0.6,168.5,83.8,34.9,2.5,3.2,2.1,0.9,0.250,0.312,0.431,0.743,0.279,16930
188,Jordan Westburg,BAL,R,2B/3B,2B/3B,122,432,384,52.0,12.9,51.2,6.3,96.9,61.5,20.3,2.2,160.3,102.4,35.7,4.8,3.3,3.3,2.0,0.252,0.317,0.417,0.735,0.308,676059
189,LaMonte Wade Jr.,SF,L,1B/OF,1B/OF,112,428,364,53.9,14.3,47.4,2.3,88.3,57.3,15.1,1.7,149.5,86.7,53.7,5.6,3.1,1.8,0.9,0.242,0.345,0.411,0.756,0.278,664774
190,Mitch Haniger,SEA,R,OF,OF,114,427,383,50.0,17.9,56.4,1.7,89.7,50.8,20.0,0.9,165.3,111.1,33.6,5.6,3.0,1.5,0.7,0.234,0.302,0.432,0.734,0.280,14274
191,Brice Turang,MIL,L,2B/SS,2B/SS,122,426,379,47.0,8.4,42.1,15.9,93.4,66.2,16.5,2.3,139.7,82.5,40.0,2.1,3.4,3.3,5.3,0.247,0.318,0.369,0.688,0.292,668930
192,Jarred Kelenic,ATL,L,OF,OF,118,426,376,56.5,15.4,57.0,12.2,92.5,52.5,22.6,1.8,165.1,113.7,41.1,3.4,3.3,2.8,4.5,0.245,0.321,0.439,0.760,0.308,672284
193,Giancarlo Stanton,NYY,R,OF,OF,110,425,373,56.5,25.7,67.1,0.6,86.6,47.5,12.9,0.5,177.7,125.1,43.3,2.6,3.3,1.1,0.3,0.232,0.312,0.476,0.788,0.270,4949
194,Yainer Diaz,HOU,R,C,C/1B,112,424,396,55.9,21.2,67.3,1.4,107.9,64.5,21.2,0.9,194.6,80.2,19.5,4.2,3.0,1.8,0.6,0.273,0.310,0.492,0.802,0.292,673237
195,Nelson Velazquez,KC,R,OF,OF,115,424,379,50.6,18.9,57.5,6.3,89.8,53.3,16.3,1.3,165.6,122.6,33.0,4.4,3.4,3.1,2.5,0.237,0.300,0.437,0.738,0.295,676369
196,Brayan Rocchio,CLE,S,SS,SS/3B,116,424,378,45.3,7.4,41.9,9.4,94.7,61.7,24.0,1.7,144.1,73.7,34.5,4.7,3.3,3.3,3.4,0.250,0.316,0.381,0.698,0.291,677587
197,Sean Murphy,ATL,R,C,C,112,423,366,57.0,17.3,59.3,0.8,91.3,52.7,20.4,0.8,165.3,94.9,43.3,10.1,3.1,1.8,0.4,0.250,0.341,0.452,0.794,0.288,669221
198,Mitch Garver,SEA,R,C,C,111,422,365,52.6,19.6,58.2,1.2,85.6,47.0,18.5,0.5,164.0,110.5,47.4,4.7,3.0,0.9,0.5,0.234,0.327,0.449,0.776,0.277,15161
199,Francisco Alvarez,NYM,R,C,C,112,421,371,53.5,22.4,61.3,2.3,85.3,47.3,15.1,0.6,168.6,106.3,41.5,5.5,3.1,2.5,0.9,0.230,0.314,0.455,0.769,0.257,682626
200,Hunter Renfroe,KC,R,OF,1B/OF,112,420,379,51.0,18.0,59.1,1.2,95.4,57.3,19.5,0.6,170.2,91.9,32.6,3.0,3.0,1.5,0.5,0.252,0.312,0.449,0.760,0.284,15464
201,Gavin Lux,LAD,L,2B/OF,2B/OF,118,418,367,52.8,9.6,48.7,8.1,97.9,64.5,20.4,3.4,153.9,81.4,40.8,2.9,3.2,3.3,2.6,0.267,0.339,0.419,0.758,0.316,666158
202,J.D. Davis,OAK,R,3B,1B/3B,114,417,363,45.3,12.8,46.2,1.4,86.2,54.4,18.3,0.8,144.4,124.0,42.4,5.9,2.9,1.5,0.6,0.237,0.323,0.398,0.720,0.320,16219
203,JJ Bleday,OAK,L,OF,OF,112,417,355,47.1,13.6,44.7,4.7,76.2,44.5,16.7,1.4,136.3,105.9,53.4,3.3,3.2,0.9,2.0,0.214,0.319,0.384,0.703,0.262,668709
204,Jackson Holliday,BAL,L,SS,SS,109,416,356,49.5,7.3,41.3,14.0,90.7,60.7,20.5,2.2,137.5,96.7,49.7,3.3,3.1,2.6,5.7,0.255,0.345,0.385,0.730,0.327,702616
205,Mickey Moniak,LAA,L,OF,OF,112,415,384,50.2,15.4,49.4,6.3,90.0,53.4,17.8,3.4,160.9,129.3,20.0,4.1,3.2,3.1,2.7,0.234,0.276,0.419,0.694,0.307,666160
206,Leody Taveras,TEX,S,OF,OF,121,414,376,52.9,12.1,50.9,13.1,98.4,62.2,22.2,2.0,160.9,90.8,30.6,2.4,3.2,3.2,4.0,0.262,0.317,0.428,0.745,0.313,665750
207,Luis Campusano,SD,R,C,C,111,414,375,47.7,14.0,52.3,1.4,99.0,65.0,19.0,0.9,161.8,71.1,28.6,4.7,3.1,2.3,0.6,0.264,0.320,0.431,0.750,0.290,669134
208,Mike Yastrzemski,SF,L,OF,OF,109,413,359,49.2,14.4,47.7,3.5,83.8,48.3,19.8,1.3,149.4,107.3,44.3,4.5,3.0,2.2,1.5,0.233,0.321,0.415,0.736,0.288,573262
209,Jake Meyers,HOU,R,OF,OF,119,413,369,49.7,11.3,47.0,7.0,87.5,56.7,17.9,1.6,142.3,107.8,32.4,5.5,3.2,3.2,2.4,0.237,0.304,0.386,0.690,0.301,676694
210,Logan O’Hoppe,LAA,R,C,C,111,413,364,53.4,20.1,59.5,3.1,92.1,54.8,16.3,0.9,170.4,85.1,37.5,5.5,3.1,2.2,1.3,0.253,0.327,0.468,0.795,0.275,681351
211,Nick Senzel,WSH,R,3B/OF,3B/OF,111,412,369,43.7,9.5,41.8,7.8,88.4,60.0,17.9,1.0,136.7,82.0,32.3,4.3,3.2,3.0,3.4,0.240,0.303,0.370,0.673,0.281,669222
212,Matt Wallner,MIN,L,OF,OF,115,411,353,50.9,15.1,49.8,2.6,83.1,46.6,19.7,1.8,151.5,134.8,45.0,9.1,3.0,2.3,1.1,0.236,0.335,0.429,0.764,0.331,670242
213,Cavan Biggio,TOR,L,1B/2B/ OF,1B/2B/ 3B/OF,114,410,348,47.5,9.6,41.2,6.1,79.4,51.3,17.7,0.8,127.7,107.7,50.2,5.8,3.2,3.0,1.7,0.228,0.330,0.368,0.698,0.299,624415
214,Brenton Doyle,COL,R,OF,OF,122,407,375,46.7,12.2,45.0,15.8,87.0,58.1,13.7,3.0,143.2,133.7,21.5,3.6,3.2,3.2,4.8,0.232,0.275,0.382,0.657,0.322,686668
215,Joc Pederson,ARI,L,OF,OF,111,406,354,51.4,16.8,53.1,1.7,89.9,58.0,12.5,2.6,157.9,92.3,42.3,6.2,3.1,1.4,0.8,0.254,0.340,0.447,0.787,0.295,11899
216,Eddie Rosario,WSH,L,OF,OF,112,406,372,44.7,13.1,49.3,4.7,92.6,58.2,19.5,1.8,155.0,89.2,26.8,2.0,3.0,2.1,1.9,0.249,0.299,0.417,0.716,0.292,12155
217,Bo Naylor,CLE,L,C,C,112,406,344,49.2,15.3,49.0,5.8,79.2,43.1,19.7,1.0,146.9,94.1,52.9,4.1,3.0,2.5,2.2,0.230,0.336,0.428,0.763,0.269,666310
218,Esteury Ruiz,OAK,R,OF,OF,113,405,363,46.3,7.3,36.3,40.6,89.3,60.1,20.5,1.4,134.5,83.4,26.0,10.1,2.8,3.3,10.6,0.246,0.309,0.372,0.681,0.298,665923
219,Henry Davis,PIT,R,OF,OF,108,403,347,46.3,12.4,46.0,7.5,83.8,54.3,15.8,1.4,139.4,93.8,43.7,7.6,3.0,2.1,3.4,0.242,0.336,0.401,0.737,0.293,680779
220,Kyle Isbel,KC,L,OF,OF,118,401,361,47.1,9.4,44.2,11.2,89.8,58.1,19.9,2.4,142.8,86.0,29.1,4.0,3.1,3.0,3.8,0.249,0.307,0.396,0.703,0.300,664728
221,Jesus Sanchez,MIA,L,OF,OF,113,400,357,47.7,15.4,50.4,2.8,89.6,57.2,14.5,2.4,155.1,103.3,35.0,3.6,2.8,1.5,1.2,0.251,0.320,0.435,0.755,0.308,660821
222,Chris Taylor,LAD,R,SS/3B/ OF,SS/3B/ OF,111,399,348,48.0,11.7,45.4,10.9,78.8,45.3,20.4,1.4,137.2,125.2,40.6,4.8,3.0,2.2,3.2,0.227,0.311,0.395,0.706,0.314,13757
223,Michael Massey,KC,L,2B,2B,111,398,364,45.3,12.1,47.4,5.3,92.2,59.7,19.3,1.1,149.8,86.1,22.9,5.3,3.0,1.7,2.1,0.253,0.303,0.412,0.715,0.298,686681
224,Jackson Merrill,SD,L,SS,SS,115,395,363,45.2,9.2,44.2,6.9,94.3,60.0,23.7,1.4,148.4,65.4,22.2,3.2,3.1,3.2,2.3,0.259,0.304,0.408,0.712,0.292,701538
225,Alex Kirilloff,MIN,L,1B/OF,1B/OF,109,394,351,49.9,13.8,48.2,2.8,92.2,59.0,18.4,1.1,154.0,92.2,31.9,6.4,3.0,2.7,1.0,0.263,0.331,0.439,0.771,0.317,666135
226,Shea Langeliers,OAK,R,C,C,112,389,350,43.4,15.7,47.0,2.8,77.8,44.0,16.1,2.0,145.1,109.8,29.5,3.5,2.9,2.1,1.2,0.222,0.285,0.415,0.699,0.273,669127
227,Luke Raley,SEA,L,1B/OF,1B/OF,107,389,342,45.6,15.5,49.0,8.1,78.8,45.1,17.0,1.3,144.9,122.5,29.4,12.1,2.9,1.6,3.2,0.231,0.310,0.423,0.733,0.305,670042
228,Tyler Stephenson,CIN,R,C,C,112,388,344,47.6,11.2,45.2,1.9,87.7,54.2,21.2,1.1,144.9,94.9,34.6,4.5,3.0,2.5,0.7,0.255,0.327,0.421,0.748,0.318,663886
229,Jared Triolo,PIT,R,3B,1B/2B/ 3B,108,387,338,41.4,5.1,34.9,8.8,84.5,60.5,17.2,1.6,120.3,97.6,40.8,3.4,3.0,3.0,2.8,0.250,0.332,0.356,0.687,0.332,669707
230,Lawrence Butler,OAK,L,OF,OF,109,387,351,41.6,11.0,41.3,6.8,84.4,54.7,17.2,1.5,137.6,97.1,26.3,2.7,3.1,3.0,2.7,0.241,0.293,0.392,0.685,0.298,671732
231,Wilyer Abreu,BOS,L,OF,OF,108,387,331,49.4,12.5,44.6,6.7,80.9,50.8,16.6,1.0,137.0,100.8,47.8,2.7,2.8,2.3,2.6,0.245,0.340,0.415,0.754,0.311,677800
232,Will Benson,CIN,L,OF,OF,115,385,323,50.1,12.4,44.2,13.0,73.2,41.6,15.6,3.6,133.3,116.1,53.1,4.2,2.7,1.9,4.6,0.227,0.339,0.412,0.751,0.308,666181
233,Rowdy Tellez,PIT,L,1B,1B,104,383,339,47.5,17.1,52.0,1.2,83.4,48.6,16.8,1.0,153.5,81.3,38.2,3.1,2.7,1.2,0.6,0.246,0.326,0.453,0.778,0.272,15679
234,Tommy Edman,STL,S,2B/SS/ OF,2B/SS/ OF,104,382,346,47.5,8.5,41.6,18.4,91.3,61.3,19.4,2.2,140.5,62.8,26.1,3.9,2.7,3.1,4.1,0.264,0.318,0.406,0.724,0.299,669242
235,Patrick Bailey,SF,S,C,C,105,375,337,37.4,8.8,37.7,1.9,77.3,52.2,15.3,1.0,120.9,97.4,29.0,3.4,3.0,2.7,0.8,0.229,0.292,0.358,0.650,0.292,672275
236,Nick Allen,OAK,R,SS,SS,115,370,335,39.1,5.7,33.8,9.1,80.2,56.5,16.5,1.6,116.9,63.2,26.4,2.6,2.9,3.0,2.9,0.239,0.295,0.349,0.644,0.277,669397
237,Kevin Kiermaier,TOR,L,OF,OF,111,369,333,43.0,7.9,39.7,8.9,80.6,52.3,17.1,3.4,128.1,86.8,26.9,3.7,2.8,2.3,2.8,0.242,0.301,0.385,0.686,0.302,11038
238,Elias Diaz,COL,R,C,C,104,369,336,41.3,10.8,43.6,1.1,85.9,58.7,15.2,1.2,135.9,80.1,25.1,2.6,2.6,1.4,0.5,0.256,0.308,0.405,0.713,0.304,11680
239,Davis Schneider,TOR,R,2B,2B,101,369,313,46.3,13.2,44.6,3.9,72.2,39.3,18.6,1.1,132.5,98.6,47.3,4.4,2.7,1.6,1.6,0.231,0.336,0.424,0.760,0.290,676914
240,Harrison Bader,NYM,R,OF,OF,108,368,336,42.7,10.6,42.5,15.6,81.9,54.0,15.3,2.0,133.1,73.6,23.6,4.2,2.8,2.6,4.7,0.244,0.298,0.396,0.694,0.280,664056
241,Avisail Garcia,MIA,R,OF,OF,104,364,331,38.9,11.1,40.3,4.3,78.7,54.4,12.0,1.2,126.4,102.8,23.9,5.0,2.7,1.8,1.7,0.238,0.296,0.382,0.678,0.308,5760
242,Michael A. Taylor,PIT,R,OF,OF,105,361,327,39.8,11.3,39.8,7.6,76.4,51.7,12.1,1.4,125.0,102.7,25.7,3.1,2.9,2.8,2.7,0.233,0.292,0.381,0.673,0.301,11489
243,Elehuris Montero,COL,R,1B,1B/3B,101,360,326,43.7,16.0,49.8,1.5,83.0,51.5,13.9,1.5,148.0,100.5,23.5,5.0,2.7,1.8,0.6,0.255,0.310,0.455,0.765,0.316,660707
244,Victor Robles,WSH,R,OF,OF,111,357,318,40.3,7.0,35.8,13.2,77.5,51.6,17.1,1.9,119.4,82.6,25.4,7.8,2.7,2.7,4.2,0.244,0.310,0.375,0.685,0.305,645302
245,Ryan Jeffers,MIN,R,C,C,103,357,313,43.8,14.2,44.0,2.7,72.3,42.8,13.7,1.5,131.7,98.2,34.6,5.0,2.8,2.7,1.2,0.231,0.313,0.421,0.735,0.286,680777
246,Joey Gallo,WSH,L,1B/OF,1B/OF,97,354,295,42.4,16.5,42.7,2.5,56.8,28.4,10.9,1.0,119.2,133.0,50.3,3.2,2.8,1.5,0.9,0.192,0.311,0.404,0.715,0.272,14128
247,Isiah Kiner-Falefa,TOR,R,3B/OF,3B/OF,101,352,319,39.0,4.9,34.0,12.5,82.9,60.2,17.0,0.9,116.3,56.7,22.7,4.3,2.8,2.5,4.2,0.260,0.312,0.364,0.676,0.299,643396
248,Tyler Freeman,CLE,R,3B,2B/SS/ 3B,100,351,311,39.9,6.6,36.3,6.7,85.0,59.9,17.5,1.1,124.4,53.6,25.0,9.7,2.8,2.6,2.5,0.273,0.341,0.399,0.740,0.309,671289
249,Whit Merrifield,PHI,R,2B/OF,2B/OF,100,346,318,40.1,6.8,35.6,13.3,81.3,57.4,16.6,0.5,119.3,59.5,21.9,2.1,2.4,2.3,3.9,0.256,0.304,0.376,0.680,0.294,11281
250,Luis Urias,SEA,R,2B,2B/3B,97,343,294,40.5,10.2,37.4,2.0,67.4,40.5,16.1,0.6,115.4,76.8,37.1,7.2,2.6,1.9,0.9,0.229,0.326,0.392,0.718,0.273,649966
251,Jason Heyward,LAD,L,OF,OF,97,342,304,42.1,10.8,42.0,2.9,76.3,47.5,17.4,0.6,127.2,64.5,28.8,3.8,2.7,2.4,1.2,0.251,0.318,0.419,0.737,0.283,4940
252,Gio Urshela,DET,R,1B/3B,1B/SS/ 3B,97,341,314,37.2,7.6,38.1,2.6,85.7,61.8,14.6,1.8,126.7,62.2,21.1,2.4,2.5,1.8,1.1,0.274,0.320,0.404,0.724,0.317,10681
253,TJ Friedl,CIN,L,OF,OF,81,341,300,46.1,10.5,37.4,11.8,76.4,48.2,14.5,3.2,128.8,60.8,30.4,5.9,2.4,2.5,4.2,0.255,0.331,0.430,0.760,0.285,670770
254,Tommy Pham,FA,R,OF,OF,91,340,300,41.4,10.8,39.0,9.6,74.0,47.3,14.6,1.3,123.4,82.3,33.2,3.0,2.5,1.3,2.9,0.246,0.323,0.411,0.734,0.301,2967
255,Jo Adell,LAA,R,OF,OF,97,340,308,40.0,15.1,44.8,5.6,68.9,37.9,14.6,1.3,131.5,111.1,23.4,4.1,2.5,1.5,2.2,0.223,0.283,0.427,0.710,0.291,666176
256,Colton Cowser,BAL,L,OF,OF,101,339,287,41.3,9.1,36.3,3.8,68.0,42.9,15.3,0.6,111.9,95.9,41.9,5.2,2.5,1.9,1.5,0.237,0.339,0.390,0.730,0.319,681297
257,Nicky Lopez,CHW,L,2B/3B,2B/SS/ 3B,99,338,301,35.7,2.3,26.9,9.8,73.9,55.9,13.6,2.2,98.7,51.9,28.3,3.7,2.6,2.6,2.8,0.246,0.313,0.328,0.642,0.288,670032
258,Johan Rojas,PHI,R,OF,OF,102,338,311,37.8,6.4,35.7,17.7,78.4,53.8,15.7,2.4,118.2,69.7,18.1,4.0,2.6,2.7,4.9,0.252,0.297,0.380,0.678,0.303,679032
259,Aaron Hicks,LAA,S,OF,OF,97,337,286,39.7,8.5,34.8,5.1,66.5,45.2,11.5,1.3,106.2,80.5,43.7,2.9,2.4,2.0,1.9,0.233,0.335,0.372,0.707,0.291,5297
260,Connor Wong,BOS,R,C,C,103,337,307,39.7,9.8,38.6,6.0,72.7,45.7,16.0,1.2,120.7,99.6,20.7,3.7,2.6,2.7,2.0,0.237,0.289,0.393,0.682,0.314,657136
261,Dominic Fletcher,CHW,L,OF,OF,99,335,302,36.4,7.5,33.9,3.8,73.0,47.6,15.8,2.1,115.5,82.3,24.6,3.7,2.5,1.9,1.8,0.241,0.302,0.382,0.685,0.305,666150
262,Gabriel Arias,CLE,R,1B/SS,1B/SS/ 3B/OF,94,333,299,37.2,10.7,38.4,4.5,72.0,45.0,15.5,0.9,121.4,90.1,27.1,3.4,2.5,1.7,1.9,0.241,0.308,0.406,0.714,0.306,672356
263,Ryan O’Hearn,BAL,L,1B/OF,1B/OF,92,332,305,40.1,13.8,46.6,2.7,78.2,47.3,16.1,1.0,137.6,80.2,19.7,3.3,2.6,1.1,1.2,0.256,0.305,0.451,0.756,0.302,656811
264,Marco Luciano,SF,R,SS,SS,102,331,294,35.5,9.2,33.1,2.9,63.8,43.0,10.7,0.8,103.6,102.6,29.8,2.5,2.5,1.9,1.2,0.217,0.290,0.352,0.643,0.295,682617
265,Michael Busch,CHC,L,3B,3B,101,330,291,40.3,10.8,37.9,2.0,68.8,43.5,13.2,1.3,117.0,91.1,31.2,4.0,2.3,1.3,0.8,0.236,0.316,0.402,0.718,0.303,683737
266,Yan Gomes,CHC,R,C,C,98,330,304,37.4,9.2,37.4,1.8,76.6,52.5,13.6,1.2,120.3,64.5,16.1,4.9,2.5,2.4,0.6,0.252,0.296,0.396,0.692,0.290,9627
267,Amed Rosario,TB,R,2B/SS,2B/SS,94,326,303,37.3,5.9,35.1,7.8,81.5,57.3,14.6,3.6,121.1,60.2,16.4,2.5,2.4,1.9,2.5,0.269,0.308,0.399,0.707,0.316,642708
268,Rene Pinto,TB,R,C,C,98,317,293,37.6,11.7,38.6,2.4,66.1,38.4,15.2,0.8,118.0,97.4,16.1,2.8,2.5,2.6,0.8,0.226,0.268,0.403,0.671,0.291,650907
269,Garrett Mitchell,MIL,L,OF,OF,82,315,280,37.3,8.0,30.7,9.8,66.5,44.3,12.1,2.1,106.9,92.3,28.4,3.2,2.3,1.9,3.3,0.237,0.311,0.382,0.693,0.321,669003
270,Alejandro Kirk,TOR,R,C,C,87,315,274,39.1,9.2,39.1,0.7,75.3,49.3,16.4,0.4,120.1,35.2,33.2,3.6,2.2,1.3,0.3,0.275,0.356,0.438,0.794,0.285,672386
271,Stone Garrett,WSH,R,OF,OF,89,311,282,34.3,12.0,38.8,4.7,66.2,38.7,14.8,0.7,118.4,90.6,21.3,2.8,2.3,1.4,1.8,0.234,0.291,0.420,0.710,0.298,656448
272,Tyrone Taylor,NYM,R,OF,OF,96,310,284,38.6,11.4,38.3,6.4,66.6,39.4,14.3,1.4,117.9,73.8,17.9,4.9,2.4,2.1,2.1,0.234,0.287,0.415,0.702,0.274,621438
273,Danny Jansen,TOR,R,C,C,86,309,272,39.1,14.5,42.6,1.2,63.5,33.9,14.7,0.4,122.4,63.8,26.9,5.4,2.4,2.0,0.5,0.234,0.311,0.450,0.761,0.250,16535
274,Jake Rogers,DET,R,C,C,91,309,277,34.9,13.3,37.6,2.8,58.9,35.2,9.6,0.8,110.1,97.5,23.7,2.8,2.4,2.4,1.0,0.213,0.277,0.397,0.674,0.270,668670
275,Matt Vierling,DET,R,3B/OF,3B/OF,86,307,274,33.6,6.7,32.1,5.9,70.0,49.4,11.4,2.5,106.5,63.8,25.1,3.1,2.3,1.9,2.3,0.255,0.321,0.388,0.709,0.307,663837
276,Junior Caminero,TB,R,3B,3B,82,307,281,37.2,12.3,41.7,2.6,74.2,47.4,12.8,1.8,127.5,68.3,19.8,2.7,2.3,1.9,1.0,0.265,0.315,0.454,0.769,0.306,691406
277,Harold Ramirez,TB,R,DH,OF,85,306,283,36.0,7.6,37.3,3.3,79.8,55.1,16.0,1.1,120.8,56.5,15.7,4.2,2.4,0.9,1.6,0.282,0.326,0.427,0.753,0.326,14387
278,Trent Grisham,NYY,L,OF,OF,87,298,253,38.5,11.1,35.9,7.0,56.1,30.6,13.7,0.7,104.5,79.1,35.3,3.6,2.3,2.3,2.1,0.221,0.319,0.412,0.731,0.272,663757
279,Dominic Canzone,SEA,L,OF,OF,87,295,268,34.9,10.4,37.3,3.4,67.8,39.4,17.2,0.8,117.8,61.3,21.2,2.7,2.2,1.6,1.4,0.253,0.310,0.440,0.750,0.290,686527
280,Nick Fortes,MIA,R,C,C,91,292,262,34.4,8.4,32.1,4.5,62.9,43.2,10.5,0.7,100.1,53.3,20.3,5.1,2.3,2.0,1.8,0.240,0.303,0.382,0.685,0.269,663743
