#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
751,Ray-Patrick Didder,SD,R,SS,SS,9,22,19,2.1,0.4,1.8,0.7,3.9,2.6,0.8,0.0,5.9,6.6,1.8,0.4,0.2,0.1,0.3,0.199,0.278,0.303,0.581,0.277,642720
752,Hunter Stovall,COL,R,2B,2B,9,22,20,2.3,0.3,2.1,0.5,5.1,3.7,0.9,0.1,7.2,4.3,1.4,0.2,0.2,0.1,0.2,0.253,0.300,0.360,0.660,0.303,667663
753,Pedro Leon,HOU,R,OF,OF,8,20,18,2.2,0.5,2.0,0.6,3.5,2.2,0.8,0.1,5.9,7.0,1.8,0.3,0.2,0.1,0.3,0.195,0.277,0.330,0.607,0.281,694175
754,Alex Ramirez,NYM,R,OF,OF,7,18,16,1.7,0.3,1.5,0.3,3.3,2.4,0.6,0.0,4.7,4.8,1.2,0.2,0.1,0.1,0.1,0.198,0.258,0.288,0.545,0.261,691267
755,Trey Cabbage,HOU,L,OF,1B/OF,7,17,16,2.1,0.7,2.1,0.5,3.4,2.1,0.6,0.1,6.2,6.4,1.2,0.2,0.1,0.1,0.2,0.218,0.274,0.395,0.669,0.313,663550
756,Taylor Kohlwey,NYM,L,OF,OF,7,17,15,1.9,0.3,1.6,0.3,3.4,2.3,0.8,0.0,5.1,4.1,1.7,0.2,0.1,0.1,0.1,0.226,0.311,0.339,0.651,0.291,670128
757,Stephen Scott,FA,L,OF,OF,7,17,15,1.9,0.4,1.7,0.2,3.1,1.9,0.7,0.1,5.2,4.1,1.9,0.1,0.1,0.1,0.1,0.211,0.302,0.356,0.658,0.258,679663
758,Victor Mesa Jr.,MIA,L,OF,OF,7,17,15,1.7,0.4,1.6,0.2,3.5,2.4,0.6,0.1,5.3,4.1,1.1,0.1,0.1,0.1,0.1,0.224,0.276,0.344,0.619,0.278,683748
759,Drew Gilbert,NYM,L,OF,OF,7,17,15,2.0,0.5,1.9,0.2,3.7,2.3,0.8,0.1,6.1,4.0,1.5,0.2,0.1,0.1,0.1,0.242,0.313,0.400,0.713,0.293,687551
760,Matthew Wood,MIL,L,C,C,7,17,15,1.5,0.2,1.3,0.1,2.9,2.2,0.5,0.0,4.1,3.6,1.6,0.2,0.1,0.1,0.0,0.197,0.280,0.272,0.552,0.244,687783
761,Roman Anthony,BOS,L,OF,OF,7,17,15,1.9,0.4,1.7,0.2,3.4,2.2,0.8,0.1,5.5,4.8,1.8,0.2,0.1,0.1,0.1,0.231,0.316,0.366,0.682,0.313,701350
762,Charles Leblanc,LAA,R,2B,2B/3B,7,16,14,1.8,0.4,1.6,0.2,3.2,2.1,0.6,0.1,5.1,5.0,1.6,0.1,0.1,0.1,0.1,0.226,0.306,0.365,0.671,0.315,641779
763,Connor Norby,BAL,R,2B,2B,7,16,14,1.9,0.4,1.8,0.2,3.6,2.4,0.7,0.1,5.8,3.5,1.2,0.2,0.1,0.1,0.1,0.253,0.312,0.401,0.713,0.304,681393
764,Logan Driscoll,TB,L,C,C,7,16,15,1.6,0.3,1.5,0.1,3.1,2.0,0.7,0.1,4.9,4.7,1.0,0.2,0.1,0.1,0.0,0.213,0.272,0.336,0.608,0.286,686482
765,Liam Hicks,TEX,L,C,C,7,16,14,1.9,0.3,1.5,0.1,3.2,2.2,0.7,0.0,4.8,3.5,1.9,0.3,0.1,0.1,0.1,0.232,0.331,0.349,0.680,0.291,689414
766,Niko Kavadas,BOS,L,1B,1B,7,16,13,1.9,0.5,1.7,0.1,2.6,1.5,0.5,0.0,4.8,6.1,2.1,0.2,0.1,0.1,0.0,0.196,0.311,0.359,0.669,0.301,694359
767,Paul McIntosh,MIA,R,C,C,6,15,13,1.6,0.4,1.5,0.1,2.8,1.9,0.5,0.0,4.6,4.0,1.4,0.2,0.1,0.1,0.1,0.215,0.297,0.352,0.649,0.276,682192
768,Lewin Diaz,FA,L,1B,1B,6,14,13,1.7,0.6,1.8,0.1,2.9,1.7,0.6,0.0,5.2,3.4,1.2,0.1,0.1,0.1,0.0,0.232,0.299,0.416,0.715,0.268,650331
769,Kevin Padlo,LAD,R,3B,3B,6,14,13,1.6,0.5,1.7,0.2,2.7,1.5,0.7,0.0,4.9,4.3,1.3,0.1,0.1,0.1,0.1,0.213,0.287,0.387,0.673,0.278,656821
770,Rylan Bannon,NYM,R,3B,3B,6,14,12,1.5,0.4,1.3,0.3,2.3,1.5,0.5,0.0,3.9,4.1,1.5,0.1,0.1,0.1,0.1,0.192,0.287,0.323,0.611,0.252,676625
771,Peyton Burdick,CHW,R,OF,OF,6,14,12,1.6,0.5,1.5,0.2,2.4,1.2,0.6,0.0,4.6,5.0,1.4,0.2,0.1,0.1,0.1,0.199,0.289,0.388,0.677,0.283,680814
772,Agustin Ramirez,NYY,R,C,C,6,14,13,1.6,0.4,1.6,0.1,2.9,1.9,0.6,0.0,4.7,3.1,1.1,0.1,0.1,0.1,0.1,0.230,0.293,0.369,0.662,0.272,682663
773,Tsung-Che Cheng,PIT,L,SS,SS,6,14,13,1.5,0.2,1.3,0.3,3.0,2.0,0.7,0.1,4.5,2.9,1.0,0.1,0.1,0.1,0.1,0.237,0.298,0.357,0.654,0.291,691907
774,Matt Shaw,CHC,R,SS,SS,6,14,13,1.6,0.3,1.6,0.4,3.4,2.4,0.6,0.1,5.3,2.6,0.7,0.2,0.1,0.1,0.1,0.264,0.303,0.406,0.709,0.304,807713
775,Curt Casali,FA,R,C,C,6,13,11,1.4,0.3,1.2,0.1,2.3,1.6,0.4,0.0,3.7,3.8,1.3,0.2,0.1,0.1,0.0,0.205,0.294,0.324,0.618,0.278,12510
776,Matt Reynolds,FA,R,2B,1B/2B/ SS/3B/OF,6,13,12,1.4,0.2,1.2,0.1,2.6,1.7,0.6,0.0,4.0,3.8,1.2,0.1,0.1,0.1,0.0,0.223,0.297,0.347,0.644,0.307,13788
777,Adam Engel,FA,R,OF,OF,6,13,12,1.3,0.3,1.2,0.4,2.4,1.5,0.5,0.0,3.8,4.3,0.9,0.2,0.1,0.1,0.1,0.202,0.265,0.323,0.588,0.290,15082
778,Drew Maggi,FA,R,SS,SS,6,13,12,1.3,0.2,1.1,0.2,2.3,1.6,0.5,0.0,3.5,3.8,1.0,0.2,0.1,0.1,0.1,0.203,0.277,0.305,0.582,0.281,543482
779,Abraham Almonte,FA,S,OF,OF,6,13,11,1.6,0.4,1.5,0.1,2.4,1.5,0.5,0.0,4.3,3.7,1.6,0.1,0.1,0.1,0.0,0.220,0.322,0.388,0.710,0.284,5486
780,Luke Voit,NYM,R,DH,1B,6,13,11,1.5,0.5,1.5,0.1,2.5,1.5,0.4,0.0,4.4,4.4,1.3,0.2,0.1,0.0,0.0,0.216,0.304,0.385,0.689,0.296,572228
781,Chris Okey,LAD,R,C,C,6,13,12,1.4,0.3,1.4,0.1,2.5,1.6,0.5,0.1,4.1,3.8,0.8,0.2,0.1,0.1,0.0,0.209,0.264,0.337,0.601,0.274,608360
782,Zack Collins,FA,L,DH,C/1B,6,13,11,1.4,0.3,1.2,0.1,2.3,1.4,0.5,0.0,3.8,4.4,1.5,0.1,0.1,0.1,0.0,0.202,0.299,0.336,0.635,0.296,641470
783,Caleb Hamilton,LAA,R,C,C,6,13,11,1.3,0.3,1.2,0.1,2.0,1.2,0.4,0.0,3.4,4.7,1.4,0.1,0.1,0.1,0.0,0.173,0.269,0.298,0.567,0.260,643348
784,Tristan Gray,MIA,L,2B,2B,6,13,12,1.4,0.5,1.4,0.1,2.4,1.5,0.4,0.0,4.3,4.2,0.8,0.1,0.1,0.1,0.0,0.203,0.258,0.362,0.621,0.267,656484
785,Cole Tucker,SEA,S,DH,2B/OF,6,13,11,1.3,0.2,1.1,0.2,2.3,1.5,0.6,0.0,3.5,3.7,1.2,0.1,0.1,0.1,0.1,0.202,0.278,0.306,0.584,0.280,657061
786,Yonny Hernandez,MIL,S,3B,2B/3B,6,13,11,1.3,0.1,0.9,0.6,2.3,1.7,0.4,0.1,3.1,3.2,1.5,0.2,0.1,0.1,0.2,0.207,0.309,0.278,0.587,0.280,660634
787,Connor Kaiser,COL,R,SS,SS,6,13,12,1.3,0.3,1.2,0.3,2.4,1.6,0.4,0.1,3.8,3.8,1.1,0.1,0.1,0.1,0.1,0.206,0.275,0.326,0.601,0.282,663731
788,Israel Pineda,WSH,R,C,C,6,13,12,1.3,0.3,1.3,0.1,2.4,1.5,0.5,0.0,4.0,3.4,0.8,0.1,0.1,0.1,0.0,0.206,0.256,0.340,0.596,0.258,672832
789,Brock WIlken,MIL,R,3B,3B,6,13,12,1.2,0.3,1.1,0.1,2.3,1.6,0.4,0.0,3.5,4.0,1.1,0.1,0.1,0.1,0.0,0.192,0.265,0.301,0.567,0.260,694385
790,Trayce Thompson,NYM,R,OF,OF,6,13,11,1.5,0.5,1.5,0.1,2.2,1.3,0.4,0.0,4.2,4.9,1.5,0.1,0.1,0.1,0.0,0.197,0.295,0.373,0.668,0.288,9952
791,Phillip Evans,ATL,R,1B/OF,1B/3B/ OF,6,12,11,1.4,0.2,1.2,0.1,2.5,1.8,0.5,0.0,3.6,2.5,1.2,0.1,0.1,0.1,0.0,0.230,0.313,0.334,0.647,0.279,595943
792,David Bote,CHC,R,2B,2B/3B,6,12,11,1.3,0.3,1.2,0.1,2.4,1.6,0.5,0.0,3.7,3.2,1.0,0.2,0.1,0.1,0.0,0.222,0.295,0.349,0.643,0.287,623520
793,Ronaldo Hernandez,ARI,R,C,C,6,12,11,1.4,0.3,1.3,0.1,2.6,1.7,0.5,0.0,4.2,2.6,0.8,0.2,0.1,0.1,0.0,0.235,0.292,0.380,0.672,0.278,660613
794,Daz Cameron,OAK,R,OF,OF,6,12,10,1.2,0.3,1.2,0.3,2.3,1.5,0.5,0.0,3.8,3.2,0.9,0.1,0.1,0.1,0.1,0.221,0.287,0.362,0.649,0.284,663662
795,Payton Henry,TOR,R,C,C,6,12,11,1.3,0.3,1.2,0.1,2.5,1.6,0.5,0.0,3.9,3.3,0.8,0.2,0.1,0.1,0.0,0.227,0.286,0.357,0.643,0.295,668721
796,Carter Kieboom,WSH,R,3B,3B,5,11,9,1.2,0.3,1.1,0.1,2.1,1.4,0.4,0.0,3.5,2.7,1.0,0.1,0.1,0.0,0.0,0.228,0.308,0.372,0.681,0.285,666198
797,Chase Strumpf,CHC,R,2B,2B,5,11,9,1.2,0.3,1.1,0.1,1.9,1.2,0.4,0.0,3.2,3.9,1.2,0.2,0.1,0.1,0.0,0.198,0.296,0.338,0.634,0.293,668664
